Generic trusted ecosystem service,Category,Abbreviation,Description,Source,Can be qualified?,Trust service?
Attribute attestation issuance service,Attribute attestation service,QEAA,de afgifte van elektronische attestaties van attributen,EU Digital Identity regulation,Yes,Yes
Attribute attestation validation service,Attribute attestation service,QEAA,de validatie van elektronische attestatie van attributen,EU Digital Identity regulation,No,Yes
Registered delivery service,Delivery service,QERDS,de verlening van elektronische aangetekende bezorgdiensten,EU Digital Identity regulation,Yes,Yes
Registered delivery validation service,Delivery service,QERDS,de validatie van via elektronische aangetekende bezorging verzonden gegevens en gerelateerd bewijsmateriaal,EU Digital Identity regulation,No,Yes
Signature certificate issuance service,Signature service,QES,"de afgifte van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,Yes,Yes
Signature certificate validation service,Signature service,QES,"de validatie van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,No,Yes
Signature creation service,Signature service,QES,de creatie van elektronische handtekeningen of elektronische zegels,EU Digital Identity regulation,No,Yes
Signature validation service,Signature service,QES,de validatie van elektronische handtekeningen of elektronische zegels,EU Digital Identity regulation,Yes,Yes
Signature preservation service,Signature service,QES,"de bewaring van elektronische handtekeningen, elektronische zegels, certificaten voor elektronische handtekeningen of certificaten voor elektronische zegels",EU Digital Identity regulation,Yes,Yes
Remote signature creation device management service,Signature service,QES,"het beheer van middelen voor het creëren van elektronische handtekeningen of elektronische zegels op afstand",EU Digital Identity regulation,Yes,Yes
Seal certificate issuance service,Seal service,QESeal,"de afgifte van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,Yes,Yes
Seal certificate validation service,Seal service,QESeal,"de validatie van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,Yes,Yes
Seal creation service,Seal service,QESeal,de creatie van elektronische handtekeningen of elektronische zegels,EU Digital Identity regulation,Yes,Yes
Seal validation service,Seal service,QESeal,de validatie van elektronische handtekeningen of elektronische zegels,EU Digital Identity regulation,Yes,Yes
Seal preservation service,Seal service,QESeal,"de bewaring van elektronische handtekeningen, elektronische zegels, certificaten voor elektronische handtekeningen of certificaten voor elektronische zegels",EU Digital Identity regulation,Yes,Yes
Remote seal creation device management service,Seal service,QESeal,het beheer van middelen voor het creëren van elektronische handtekeningen of elektronische zegels op afstand,EU Digital Identity regulation,Yes,Yes
Timestamp creation service,Timestamp service,QETS,het creëren van elektronische tijdstempels,EU Digital Identity regulation,Yes,Yes
Timestamp validation service,Timestamp service,QETS,de validatie van elektronische tijdstempels,EU Digital Identity regulation,No,Yes
Website authentication certificate issuance service,Website authentication service,QWAC,"de afgifte van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,Yes,Yes
Website authentication validation issuance service,Website authentication service,QWAC,"de validatie van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,Yes,Yes
Archiving service,Archiving service,QEArchiving,de elektronische archivering van elektronische gegevens en elektronische documenten,EU Digital Identity regulation,Yes,Yes
Ledger service,Ledger service,QELedger,het vastleggen van elektronische gegevens in een elektronisch register,EU Digital Identity regulation,Yes,Yes
Trust service provision certificate issuance service,Trust service provision service,-,"de afgifte van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,No,Yes
Trust service provision certificate validation service,Trust service provision service,-,"de validatie van certificaten voor elektronische handtekeningen, certificaten voor elektronische zegels, certificaten voor website-authenticatie of certificaten voor andere vertrouwensdiensten",EU Digital Identity regulation,No,Yes
Message broker service,Delivery service,-,E.g. een eIDAS Node,EU Digital Identity regulation (interpretation),No,No
Person identification data provision service,Identity provision service,-,-,EU Digital Identity regulation (interpretation),No,No
Identity wallet provision service,Acting space provision service,-,-,EU Digital Identity regulation (interpretation),No,No
Authentication service,Access service,-,-,Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Recognition broker service,Access service,-,-,Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Mandate registry service,Access service,-,-,Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Identification means provision service,Access service,-,-,Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Message delivery service,Delivery service,-,"De eIDAS-berichtenservice (EB) is een component/rol binnen het Netwerk (voor Elektronische Toegangsdiensten) welke Elektronische Toegangsdiensten verbindt met de andere eIDAS-lidstaten en vice versa. (not an eIDAS-Node, but an eIDAS-Node Proxy Service)",Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Pseudonym provision service,Access service,-,E.g. BSNk,Afsprakenstelsel Elektronische Toegangsdiensten,No,No
Data sourcing service,Personal data management service,-,E.g. scraping apps. "Bron ontsluiten",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal digital environment provision service,Acting space provision service,-,-,Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data derivation service,Personal data management service,-,"Afleiden",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data reading service,Personal data management service,-,"Lezen",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data changing service,Personal data management service,-,"Wijzigen",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data deletion service,Personal data management service,-,"Verwijderen",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data integration service,Personal data management service,-,"Integreren",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data collection service,Personal data management service,-,"Verzamelen",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data filtering service,Personal data management service,-,"Filteren",Referentiearchitectuur Regie op Gegevens 2023,No,No
Personal data encryption service,Personal data management service,-,"Versleutelen",Referentiearchitectuur Regie op Gegevens 2023,No,No
